"P1_S1","P1_S2","P1_S3","P1_S4","P2_S1","P2_S2","P2_S3","P2_S4","P3_S1","P3_S2","P3_S3","P3_S4"
0.916,0.317,0.205,0.171,0.916,0.317,0.205,0.171,0.0,0.3633,0.0903,0.0
0.897,0.358,0.188,0.176,0.897,0.358,0.188,0.176,0.0,0.3957,0.0557,0.0
0.887,0.377,0.166,0.175,0.887,0.377,0.166,0.175,0.0006,0.3824,0.0257,0.0
0.898,0.394,0.147,0.176,0.898,0.394,0.147,0.176,0.0028,0.3339,0.0065,0.0
0.894,0.405,0.137,0.178,0.894,0.405,0.137,0.178,0.0165,0.2824,0.0006,0.0
0.875,0.404,0.127,0.173,0.875,0.404,0.127,0.173,0.0335,0.2171,0.0,0.0
0.858,0.404,0.119,0.163,0.858,0.404,0.119,0.163,0.0472,0.1356,0.0,0.0
0.831,0.41,0.109,0.155,0.831,0.41,0.109,0.155,0.0505,0.0537,0.0,0.0023
0.775,0.415,0.1,0.153,0.775,0.415,0.1,0.153,0.0397,0.0087,0.0,0.0462
0.693,0.422,0.091,0.162,0.693,0.422,0.091,0.162,0.0265,0.0001,0.0,0.14
0.605,0.428,0.083,0.179,0.605,0.428,0.083,0.179,0.0137,0.0,0.0,0.2299
0.53,0.435,0.077,0.189,0.53,0.435,0.077,0.189,0.0033,0.0,0.0041,0.2838
0.476,0.421,0.069,0.191,0.476,0.421,0.069,0.191,0.0,0.0,0.0242,0.3208
0.485,0.423,0.066,0.188,0.485,0.423,0.066,0.188,0.0,0.0,0.0698,0.2959
0.507,0.424,0.067,0.18,0.507,0.424,0.067,0.18,0.0,0.0,0.1172,0.2212
0.521,0.423,0.066,0.176,0.521,0.423,0.066,0.176,0.0,0.0,0.1376,0.1679
0.529,0.41,0.066,0.16,0.529,0.41,0.066,0.16,0.0,0.0,0.1819,0.1113
0.531,0.407,0.067,0.14,0.531,0.407,0.067,0.14,0.0,0.0,0.2237,0.0553
0.532,0.408,0.068,0.131,0.532,0.408,0.068,0.131,0.0,0.0068,0.278,0.0128
0.537,0.421,0.071,0.127,0.537,0.421,0.071,0.127,0.0,0.0514,0.2949,0.0008
0.527,0.432,0.072,0.124,0.527,0.432,0.072,0.124,0.0,0.1396,0.3114,0.0
0.51,0.438,0.074,0.121,0.51,0.438,0.074,0.121,0.0,0.2416,0.304,0.0
0.506,0.432,0.076,0.12,0.506,0.432,0.076,0.12,0.0,0.3476,0.2716,0.0
0.504,0.425,0.077,0.12,0.504,0.425,0.077,0.12,0.0,0.4589,0.1933,0.0
0.49,0.417,0.078,0.133,0.49,0.417,0.078,0.133,0.0,0.5332,0.1271,0.0
0.492,0.407,0.072,0.137,0.492,0.407,0.072,0.137,0.0,0.5546,0.0828,0.0
0.482,0.397,0.065,0.141,0.482,0.397,0.065,0.141,0.0005,0.5326,0.0385,0.0
0.473,0.387,0.06,0.145,0.473,0.387,0.06,0.145,0.0025,0.4786,0.0091,0.0
0.482,0.372,0.057,0.155,0.482,0.372,0.057,0.155,0.0325,0.3983,0.0008,0.0
0.467,0.344,0.056,0.162,0.467,0.344,0.056,0.162,0.0717,0.2923,0.0,0.0
0.471,0.314,0.065,0.166,0.471,0.314,0.065,0.166,0.1065,0.1747,0.0,0.0
0.505,0.301,0.068,0.16,0.505,0.301,0.068,0.16,0.1001,0.0654,0.0,0.0026
0.542,0.3,0.071,0.161,0.542,0.3,0.071,0.161,0.0976,0.01,0.0,0.0509
0.565,0.303,0.072,0.167,0.565,0.303,0.072,0.167,0.0692,0.0001,0.0,0.1397
0.565,0.307,0.076,0.185,0.565,0.307,0.076,0.185,0.041,0.0,0.0,0.2578
0.561,0.308,0.079,0.201,0.561,0.308,0.079,0.201,0.0107,0.0,0.0056,0.3232
0.561,0.312,0.081,0.211,0.561,0.312,0.081,0.211,0.0,0.0,0.0296,0.3541
0.56,0.318,0.087,0.205,0.56,0.318,0.087,0.205,0.0,0.0,0.0686,0.3251
0.55,0.323,0.097,0.198,0.55,0.323,0.097,0.198,0.0,0.0,0.1351,0.2779
0.534,0.324,0.105,0.191,0.534,0.324,0.105,0.191,0.0,0.0,0.2243,0.2129
0.527,0.323,0.108,0.175,0.527,0.323,0.108,0.175,0.0,0.0,0.3318,0.1305
0.527,0.321,0.108,0.167,0.527,0.321,0.108,0.167,0.0,0.0,0.4242,0.0599
0.529,0.317,0.109,0.163,0.529,0.317,0.109,0.163,0.0,0.0086,0.4898,0.0133
0.604,0.314,0.115,0.154,0.604,0.314,0.115,0.154,0.0,0.0593,0.5603,0.0008
0.593,0.322,0.12,0.149,0.593,0.322,0.12,0.149,0.0,0.163,0.5896,0.0
0.586,0.335,0.125,0.151,0.586,0.335,0.125,0.151,0.0,0.2763,0.5718,0.0
0.564,0.34,0.122,0.152,0.564,0.34,0.122,0.152,0.0,0.378,0.5173,0.0
0.551,0.339,0.113,0.148,0.551,0.339,0.113,0.148,0.0,0.4665,0.4093,0.0
0.548,0.327,0.101,0.151,0.548,0.327,0.101,0.151,0.0,0.5183,0.2967,0.0
0.548,0.306,0.082,0.145,0.548,0.306,0.082,0.145,0.0,0.5371,0.1778,0.0
0.566,0.279,0.067,0.132,0.566,0.279,0.067,0.132,0.0013,0.5234,0.0756,0.0
0.582,0.255,0.06,0.12,0.582,0.255,0.06,0.12,0.0062,0.4712,0.0164,0.0
0.6,0.235,0.057,0.117,0.6,0.235,0.057,0.117,0.0459,0.3767,0.0012,0.0
0.614,0.21,0.054,0.117,0.614,0.21,0.054,0.117,0.1041,0.2636,0.0,0.0
0.629,0.181,0.056,0.117,0.629,0.181,0.056,0.117,0.1516,0.1477,0.0,0.0
0.637,0.151,0.057,0.105,0.637,0.151,0.057,0.105,0.1574,0.0524,0.0,0.0011
0.628,0.133,0.06,0.098,0.628,0.133,0.06,0.098,0.1265,0.0078,0.0,0.0272
0.617,0.124,0.061,0.094,0.617,0.124,0.061,0.094,0.0825,0.0001,0.0,0.0933
0.636,0.112,0.066,0.1,0.636,0.112,0.066,0.1,0.036,0.0,0.0,0.1575
0.642,0.1,0.073,0.104,0.642,0.1,0.073,0.104,0.0072,0.0,0.0071,0.2248
0.677,0.094,0.079,0.105,0.677,0.094,0.079,0.105,0.0,0.0,0.0427,0.2527
0.701,0.088,0.084,0.104,0.701,0.088,0.084,0.104,0.0,0.0,0.109,0.2545
0.746,0.085,0.103,0.101,0.746,0.085,0.103,0.101,0.0,0.0,0.1985,0.206
0.786,0.081,0.126,0.106,0.786,0.081,0.126,0.106,0.0,0.0,0.3101,0.1586
0.818,0.083,0.152,0.105,0.818,0.083,0.152,0.105,0.0,0.0,0.3895,0.1094
0.935,0.088,0.172,0.109,0.935,0.088,0.172,0.109,0.0,0.0,0.449,0.0462
0.957,0.096,0.197,0.12,0.957,0.096,0.197,0.12,0.0,0.0082,0.5101,0.0083
0.84,0.093,0.229,0.13,0.84,0.093,0.229,0.13,0.0,0.0499,0.5172,0.0003
0.835,0.096,0.258,0.139,0.835,0.096,0.258,0.139,0.0,0.1292,0.5397,0.0
0.813,0.099,0.285,0.145,0.813,0.099,0.285,0.145,0.0,0.2408,0.4811,0.0
0.806,0.107,0.301,0.149,0.806,0.107,0.301,0.149,0.0,0.3598,0.4146,0.0
0.81,0.112,0.318,0.15,0.81,0.112,0.318,0.15,0.0,0.4328,0.3229,0.0
0.782,0.114,0.336,0.154,0.782,0.114,0.336,0.154,0.0,0.4524,0.206,0.0
0.736,0.115,0.349,0.156,0.736,0.115,0.349,0.156,0.0,0.4781,0.1196,0.0
0.709,0.115,0.363,0.156,0.709,0.115,0.363,0.156,0.0007,0.4656,0.0521,0.0
0.732,0.116,0.376,0.158,0.732,0.116,0.376,0.158,0.0033,0.3751,0.0106,0.0
0.755,0.119,0.39,0.16,0.755,0.119,0.39,0.16,0.0246,0.2835,0.0006,0.0
0.798,0.123,0.401,0.161,0.798,0.123,0.401,0.161,0.0661,0.21,0.0,0.0
0.827,0.125,0.405,0.16,0.827,0.125,0.405,0.16,0.1051,0.1372,0.0,0.0
0.888,0.12,0.404,0.156,0.888,0.12,0.404,0.156,0.1299,0.0562,0.0,0.0007
0.901,0.117,0.392,0.157,0.901,0.117,0.392,0.157,0.1234,0.0094,0.0,0.0129
0.936,0.117,0.382,0.162,0.936,0.117,0.382,0.162,0.0876,0.0002,0.0,0.0421
0.939,0.116,0.382,0.175,0.939,0.116,0.382,0.175,0.0478,0.0,0.0,0.0971
0.942,0.114,0.386,0.185,0.942,0.114,0.386,0.185,0.0117,0.0,0.0058,0.1466
0.949,0.12,0.386,0.187,0.949,0.12,0.386,0.187,0.0,0.0,0.0345,0.1616
0.963,0.121,0.398,0.185,0.963,0.121,0.398,0.185,0.0,0.0,0.1029,0.1566
0.975,0.122,0.418,0.181,0.975,0.122,0.418,0.181,0.0,0.0,0.1698,0.1305
0.982,0.122,0.448,0.18,0.982,0.122,0.448,0.18,0.0,0.0,0.2382,0.1013
0.974,0.127,0.483,0.17,0.974,0.127,0.483,0.17,0.0,0.0,0.3367,0.0651
0.953,0.133,0.524,0.166,0.953,0.133,0.524,0.166,0.0,0.0,0.4124,0.0285
0.926,0.141,0.563,0.164,0.926,0.141,0.563,0.164,0.0,0.0084,0.4719,0.0057
0.868,0.142,0.585,0.156,0.868,0.142,0.585,0.156,0.0,0.0512,0.5204,0.0003
0.796,0.157,0.591,0.152,0.796,0.157,0.591,0.152,0.0,0.1321,0.5437,0.0
0.728,0.178,0.599,0.151,0.728,0.178,0.599,0.151,0.0,0.2368,0.4956,0.0
0.643,0.204,0.592,0.149,0.643,0.204,0.592,0.149,0.0,0.3236,0.4124,0.0
0.564,0.227,0.578,0.146,0.564,0.227,0.578,0.146,0.0,0.3825,0.3384,0.0
0.499,0.243,0.551,0.145,0.499,0.243,0.551,0.145,0.0,0.4062,0.2564,0.0
0.475,0.248,0.508,0.143,0.475,0.248,0.508,0.143,0.0,0.4363,0.1694,0.0
0.461,0.247,0.468,0.142,0.461,0.247,0.468,0.142,0.0012,0.4128,0.0748,0.0
0.463,0.247,0.446,0.14,0.463,0.247,0.446,0.14,0.0061,0.3465,0.0149,0.0
0.456,0.255,0.45,0.142,0.456,0.255,0.45,0.142,0.0257,0.2707,0.0008,0.0
0.462,0.261,0.455,0.145,0.462,0.261,0.455,0.145,0.0717,0.1919,0.0,0.0
0.475,0.252,0.447,0.148,0.475,0.252,0.447,0.148,0.11,0.121,0.0,0.0
0.485,0.229,0.44,0.15,0.485,0.229,0.44,0.15,0.1314,0.0506,0.0,0.0007
0.485,0.214,0.432,0.155,0.485,0.214,0.432,0.155,0.1314,0.0089,0.0,0.0191
0.476,0.212,0.428,0.164,0.476,0.212,0.428,0.164,0.101,0.0002,0.0,0.0644
0.455,0.214,0.413,0.181,0.455,0.214,0.413,0.181,0.0534,0.0,0.0,0.1236
0.44,0.214,0.407,0.201,0.44,0.214,0.407,0.201,0.0136,0.0,0.0098,0.1682
0.44,0.216,0.414,0.214,0.44,0.216,0.414,0.214,0.0,0.0,0.0692,0.2029
0.444,0.215,0.439,0.219,0.444,0.215,0.439,0.219,0.0,0.0,0.1633,0.1913
0.443,0.216,0.466,0.215,0.443,0.216,0.466,0.215,0.0,0.0,0.3056,0.1637
0.441,0.213,0.485,0.212,0.441,0.213,0.485,0.212,0.0,0.0,0.4476,0.1249
0.434,0.211,0.485,0.197,0.434,0.211,0.485,0.197,0.0,0.0,0.5442,0.0755
0.426,0.21,0.484,0.177,0.426,0.21,0.484,0.177,0.0,0.0,0.616,0.0335
0.417,0.216,0.487,0.163,0.417,0.216,0.487,0.163,0.0,0.013,0.6355,0.007
0.413,0.23,0.488,0.147,0.413,0.23,0.488,0.147,0.0,0.0736,0.6381,0.0003
0.407,0.255,0.468,0.13,0.407,0.255,0.468,0.13,0.0,0.1881,0.6069,0.0
0.398,0.276,0.449,0.117,0.398,0.276,0.449,0.117,0.0,0.3227,0.5497,0.0
0.39,0.293,0.414,0.107,0.39,0.293,0.414,0.107,0.0,0.4458,0.4578,0.0
0.384,0.305,0.371,0.095,0.384,0.305,0.371,0.095,0.0,0.538,0.3543,0.0
0.379,0.31,0.324,0.094,0.379,0.31,0.324,0.094,0.0,0.5907,0.2522,0.0
0.385,0.31,0.281,0.085,0.385,0.31,0.281,0.085,0.0,0.5969,0.1502,0.0
0.369,0.308,0.24,0.075,0.369,0.308,0.24,0.075,0.0015,0.5527,0.0618,0.0
0.358,0.306,0.215,0.068,0.358,0.306,0.215,0.068,0.0075,0.5008,0.0119,0.0
0.358,0.312,0.203,0.069,0.358,0.312,0.203,0.069,0.034,0.4354,0.0006,0.0
0.357,0.301,0.192,0.073,0.357,0.301,0.192,0.073,0.0721,0.3301,0.0,0.0
0.351,0.275,0.186,0.072,0.351,0.275,0.186,0.072,0.1125,0.2041,0.0,0.0
0.34,0.239,0.187,0.065,0.34,0.239,0.187,0.065,0.1363,0.0819,0.0,0.0013
0.328,0.217,0.187,0.063,0.328,0.217,0.187,0.063,0.1328,0.014,0.0,0.0181
0.313,0.209,0.182,0.065,0.313,0.209,0.182,0.065,0.0932,0.0003,0.0,0.0503
0.293,0.197,0.177,0.074,0.293,0.197,0.177,0.074,0.0455,0.0,0.0,0.0888
0.277,0.187,0.183,0.084,0.277,0.187,0.183,0.084,0.0109,0.0,0.0013,0.1214
0.265,0.184,0.195,0.09,0.265,0.184,0.195,0.09,0.0,0.0,0.0201,0.1595
0.247,0.166,0.206,0.089,0.247,0.166,0.206,0.089,0.0,0.0,0.0834,0.1846
0.229,0.149,0.227,0.087,0.229,0.149,0.227,0.087,0.0,0.0,0.1876,0.1697
0.215,0.136,0.255,0.084,0.215,0.136,0.255,0.084,0.0,0.0,0.3094,0.1265
0.203,0.135,0.292,0.083,0.203,0.135,0.292,0.083,0.0,0.0,0.4279,0.0845
0.191,0.135,0.334,0.084,0.191,0.135,0.334,0.084,0.0,0.0,0.5132,0.0416
0.188,0.147,0.358,0.085,0.188,0.147,0.358,0.085,0.0,0.0087,0.5848,0.0088
0.179,0.167,0.366,0.08,0.179,0.167,0.366,0.08,0.0,0.0517,0.624,0.0004
0.18,0.199,0.355,0.081,0.18,0.199,0.355,0.081,0.0,0.148,0.6666,0.0
0.189,0.227,0.336,0.084,0.189,0.227,0.336,0.084,0.0,0.2546,0.6303,0.0
0.199,0.259,0.295,0.083,0.199,0.259,0.295,0.083,0.0,0.3272,0.555,0.0
0.204,0.282,0.245,0.08,0.204,0.282,0.245,0.08,0.0,0.3598,0.4734,0.0
0.21,0.293,0.195,0.083,0.21,0.293,0.195,0.083,0.0,0.3813,0.3344,0.0
0.221,0.295,0.135,0.08,0.221,0.295,0.135,0.08,0.0,0.4011,0.1971,0.0
0.234,0.287,0.09,0.08,0.234,0.287,0.09,0.08,0.001,0.3964,0.0818,0.0
0.25,0.278,0.064,0.079,0.25,0.278,0.064,0.079,0.0052,0.3547,0.0154,0.0
0.265,0.26,0.052,0.079,0.265,0.26,0.052,0.079,0.043,0.2876,0.0006,0.0
0.28,0.23,0.046,0.081,0.28,0.23,0.046,0.081,0.0943,0.2247,0.0,0.0
0.293,0.184,0.045,0.081,0.293,0.184,0.045,0.081,0.1282,0.142,0.0,0.0
0.307,0.143,0.046,0.076,0.307,0.143,0.046,0.076,0.1505,0.0625,0.0,0.0007
0.323,0.123,0.05,0.075,0.323,0.123,0.05,0.075,0.1478,0.0118,0.0,0.0164
0.34,0.116,0.051,0.075,0.34,0.116,0.051,0.075,0.1127,0.0003,0.0,0.0548
0.353,0.113,0.06,0.079,0.353,0.113,0.06,0.079,0.0596,0.0,0.0,0.11
0.363,0.109,0.072,0.082,0.363,0.109,0.072,0.082,0.0151,0.0,0.0043,0.1619
0.365,0.107,0.09,0.081,0.365,0.107,0.09,0.081,0.0,0.0,0.0253,0.1953
0.354,0.1,0.107,0.08,0.354,0.1,0.107,0.08,0.0,0.0,0.0643,0.2079
0.336,0.098,0.136,0.077,0.336,0.098,0.136,0.077,0.0,0.0,0.125,0.1833
0.32,0.095,0.174,0.075,0.32,0.095,0.174,0.075,0.0,0.0,0.2022,0.1422
0.305,0.098,0.23,0.076,0.305,0.098,0.23,0.076,0.0,0.0,0.261,0.0928
0.288,0.094,0.281,0.081,0.288,0.094,0.281,0.081,0.0,0.0,0.2881,0.0396
0.271,0.087,0.32,0.088,0.271,0.087,0.32,0.088,0.0,0.0147,0.3097,0.0073
0.238,0.079,0.36,0.086,0.238,0.079,0.36,0.086,0.0,0.0808,0.3118,0.0003
0.22,0.081,0.384,0.09,0.22,0.081,0.384,0.09,0.0,0.1928,0.3279,0.0
0.2,0.085,0.41,0.098,0.2,0.085,0.41,0.098,0.0,0.3205,0.2864,0.0
0.179,0.096,0.421,0.105,0.179,0.096,0.421,0.105,0.0,0.4399,0.2636,0.0
0.158,0.098,0.42,0.112,0.158,0.098,0.42,0.112,0.0,0.5164,0.2245,0.0
0.137,0.098,0.419,0.128,0.137,0.098,0.419,0.128,0.0,0.5833,0.1677,0.0
0.113,0.1,0.395,0.135,0.113,0.1,0.395,0.135,0.0,0.6008,0.1103,0.0
0.099,0.103,0.373,0.143,0.099,0.103,0.373,0.143,0.0015,0.5779,0.0532,0.0
0.087,0.106,0.354,0.145,0.087,0.106,0.354,0.145,0.0072,0.5157,0.0117,0.0
0.075,0.113,0.348,0.145,0.075,0.113,0.348,0.145,0.0418,0.4296,0.0007,0.0
0.065,0.113,0.352,0.142,0.065,0.113,0.352,0.142,0.0976,0.317,0.0,0.0
0.058,0.107,0.359,0.132,0.058,0.107,0.359,0.132,0.1418,0.1862,0.0,0.0
0.054,0.096,0.366,0.112,0.054,0.096,0.366,0.112,0.1543,0.0755,0.0,0.0007
0.052,0.09,0.368,0.104,0.052,0.09,0.368,0.104,0.1362,0.0136,0.0,0.0296
0.051,0.09,0.363,0.102,0.051,0.09,0.363,0.102,0.0966,0.0004,0.0,0.1122
0.05,0.089,0.35,0.112,0.05,0.089,0.35,0.112,0.0462,0.0,0.0,0.2223
0.051,0.09,0.343,0.122,0.051,0.09,0.343,0.122,0.0113,0.0,0.0071,0.3048
0.055,0.096,0.34,0.129,0.055,0.096,0.34,0.129,0.0,0.0,0.0563,0.34
0.06,0.096,0.348,0.127,0.06,0.096,0.348,0.127,0.0,0.0,0.1429,0.342
0.064,0.098,0.363,0.12,0.064,0.098,0.363,0.12,0.0,0.0,0.2389,0.3156
0.07,0.098,0.376,0.117,0.07,0.098,0.376,0.117,0.0,0.0,0.3607,0.248
0.075,0.105,0.381,0.116,0.075,0.105,0.381,0.116,0.0,0.0,0.4242,0.1556
0.08,0.107,0.379,0.125,0.08,0.107,0.379,0.125,0.0,0.0,0.4661,0.0576
0.087,0.107,0.383,0.144,0.087,0.107,0.383,0.144,0.0,0.0195,0.5153,0.0085
0.096,0.099,0.391,0.166,0.096,0.099,0.391,0.166,0.0,0.0951,0.5096,0.0001
0.099,0.109,0.394,0.195,0.099,0.109,0.394,0.195,0.0,0.2185,0.4693,0.0
0.104,0.124,0.394,0.234,0.104,0.124,0.394,0.234,0.0,0.3493,0.4262,0.0
0.112,0.155,0.375,0.271,0.112,0.155,0.375,0.271,0.0,0.4662,0.421,0.0
0.124,0.167,0.354,0.303,0.124,0.167,0.354,0.303,0.0,0.554,0.3314,0.0
0.142,0.166,0.318,0.351,0.142,0.166,0.318,0.351,0.0,0.6041,0.225,0.0
0.158,0.163,0.272,0.381,0.158,0.163,0.272,0.381,0.0,0.6207,0.1194,0.0
0.172,0.161,0.231,0.393,0.172,0.161,0.231,0.393,0.0,0.5991,0.048,0.0
0.183,0.163,0.201,0.395,0.183,0.163,0.201,0.395,0.0099,0.5424,0.0095,0.0
0.189,0.174,0.18,0.399,0.189,0.174,0.18,0.399,0.0519,0.4516,0.0004,0.0
0.214,0.178,0.163,0.412,0.214,0.178,0.163,0.412,0.1012,0.3364,0.0,0.0
0.231,0.17,0.154,0.429,0.231,0.17,0.154,0.429,0.1177,0.2091,0.0,0.0
0.244,0.151,0.141,0.434,0.244,0.151,0.141,0.434,0.1137,0.0875,0.0,0.0001
0.255,0.139,0.129,0.44,0.255,0.139,0.129,0.44,0.1004,0.0159,0.0,0.0054
0.268,0.134,0.118,0.437,0.268,0.134,0.118,0.437,0.0779,0.0005,0.0,0.0205
0.285,0.134,0.108,0.427,0.285,0.134,0.108,0.427,0.0435,0.0,0.0,0.0415
0.304,0.136,0.098,0.419,0.304,0.136,0.098,0.419,0.0123,0.0,0.0038,0.0755
0.326,0.141,0.09,0.406,0.326,0.141,0.09,0.406,0.0,0.0,0.0357,0.1111
0.337,0.142,0.093,0.387,0.337,0.142,0.093,0.387,0.0,0.0,0.0959,0.1356
0.34,0.14,0.101,0.366,0.34,0.14,0.101,0.366,0.0,0.0,0.1813,0.1131
0.336,0.136,0.11,0.349,0.336,0.136,0.11,0.349,0.0,0.0,0.2679,0.0881
0.325,0.134,0.121,0.336,0.325,0.134,0.121,0.336,0.0,0.0,0.2795,0.0615
0.316,0.131,0.135,0.345,0.316,0.131,0.135,0.345,0.0,0.0001,0.2549,0.0259
0.31,0.13,0.152,0.364,0.31,0.13,0.152,0.364,0.0,0.0193,0.3276,0.0045
0.267,0.13,0.174,0.381,0.267,0.13,0.174,0.381,0.0,0.0947,0.3485,0.0002
0.256,0.143,0.197,0.408,0.256,0.143,0.197,0.408,0.0,0.2198,0.3621,0.0
0.243,0.158,0.221,0.429,0.243,0.158,0.221,0.429,0.0,0.3336,0.3343,0.0
0.237,0.18,0.226,0.459,0.237,0.18,0.226,0.459,0.0,0.4441,0.345,0.0
0.239,0.197,0.227,0.478,0.239,0.197,0.227,0.478,0.0,0.4946,0.2931,0.0
0.222,0.203,0.217,0.481,0.222,0.203,0.217,0.481,0.0,0.516,0.2482,0.0
0.213,0.207,0.2,0.485,0.213,0.207,0.2,0.485,0.0,0.5171,0.1711,0.0
0.21,0.213,0.176,0.511,0.21,0.213,0.176,0.511,0.0005,0.4774,0.072,0.0
0.213,0.215,0.164,0.541,0.213,0.215,0.164,0.541,0.0026,0.4152,0.0132,0.0
0.199,0.215,0.163,0.55,0.199,0.215,0.163,0.55,0.0142,0.33,0.0005,0.0
0.177,0.208,0.167,0.547,0.177,0.208,0.167,0.547,0.0317,0.225,0.0,0.0
0.152,0.191,0.163,0.536,0.152,0.191,0.163,0.536,0.055,0.1154,0.0,0.0
0.134,0.165,0.162,0.521,0.134,0.165,0.162,0.521,0.0628,0.0282,0.0,0.0003
0.12,0.145,0.166,0.513,0.12,0.145,0.166,0.513,0.0543,0.0021,0.0,0.0159
0.108,0.133,0.173,0.515,0.108,0.133,0.173,0.515,0.0414,0.0,0.0,0.0662
0.103,0.117,0.175,0.513,0.103,0.117,0.175,0.513,0.0263,0.0,0.0,0.1213
0.101,0.102,0.181,0.521,0.101,0.102,0.181,0.521,0.0089,0.0,0.0056,0.163
0.102,0.091,0.189,0.496,0.102,0.091,0.189,0.496,0.0,0.0,0.0502,0.188
0.101,0.078,0.219,0.483,0.101,0.078,0.219,0.483,0.0,0.0,0.1295,0.1901
0.099,0.072,0.257,0.481,0.099,0.072,0.257,0.481,0.0,0.0,0.1868,0.1803
0.098,0.068,0.287,0.451,0.098,0.068,0.287,0.451,0.0,0.0,0.2713,0.156
0.095,0.067,0.306,0.401,0.095,0.067,0.306,0.401,0.0,0.0,0.3574,0.1105
0.091,0.066,0.316,0.349,0.091,0.066,0.316,0.349,0.0,0.0007,0.4518,0.0468
0.09,0.068,0.329,0.302,0.09,0.068,0.329,0.302,0.0,0.0262,0.4547,0.0076
0.091,0.067,0.33,0.254,0.091,0.067,0.33,0.254,0.0,0.0771,0.4589,0.0001
0.091,0.069,0.322,0.208,0.091,0.069,0.322,0.208,0.0,0.1511,0.4015,0.0
0.095,0.072,0.313,0.168,0.095,0.072,0.313,0.168,0.0,0.2242,0.3769,0.0
0.095,0.079,0.296,0.15,0.095,0.079,0.296,0.15,0.0,0.3193,0.3086,0.0
0.096,0.08,0.271,0.139,0.096,0.08,0.271,0.139,0.0,0.4585,0.2422,0.0
0.094,0.078,0.237,0.135,0.094,0.078,0.237,0.135,0.0,0.5762,0.1672,0.0
0.096,0.076,0.188,0.132,0.096,0.076,0.188,0.132,0.0,0.6167,0.0938,0.0
0.097,0.074,0.146,0.138,0.097,0.074,0.146,0.138,0.0011,0.5981,0.0377,0.0
0.103,0.075,0.12,0.147,0.103,0.075,0.12,0.147,0.0056,0.5376,0.0071,0.0
0.109,0.079,0.108,0.155,0.109,0.079,0.108,0.155,0.0304,0.4469,0.0003,0.0
0.11,0.078,0.098,0.169,0.11,0.078,0.098,0.169,0.0663,0.3332,0.0,0.0
0.112,0.072,0.094,0.185,0.112,0.072,0.094,0.185,0.1003,0.2053,0.0,0.0
0.112,0.061,0.085,0.194,0.112,0.061,0.085,0.194,0.1215,0.086,0.0,0.0006
0.111,0.055,0.077,0.214,0.111,0.055,0.077,0.214,0.1127,0.0162,0.0,0.0134
0.112,0.052,0.068,0.239,0.112,0.052,0.068,0.239,0.0789,0.0006,0.0,0.0456
0.122,0.052,0.065,0.269,0.122,0.052,0.065,0.269,0.0465,0.0,0.0,0.09
0.14,0.053,0.064,0.306,0.14,0.053,0.064,0.306,0.0144,0.0,0.0033,0.129
0.159,0.058,0.063,0.336,0.159,0.058,0.063,0.336,0.0,0.0,0.0258,0.1519
0.173,0.058,0.062,0.36,0.173,0.058,0.062,0.36,0.0,0.0,0.063,0.1417
0.184,0.058,0.062,0.369,0.184,0.058,0.062,0.369,0.0,0.0,0.0972,0.124
0.196,0.057,0.064,0.37,0.196,0.057,0.064,0.37,0.0,0.0,0.1272,0.0908
0.205,0.059,0.072,0.372,0.205,0.059,0.072,0.372,0.0,0.0,0.1446,0.0519
0.216,0.063,0.08,0.368,0.216,0.063,0.08,0.368,0.0,0.0002,0.1563,0.0209
0.229,0.07,0.086,0.362,0.229,0.07,0.086,0.362,0.0,0.0177,0.1517,0.0037
0.232,0.071,0.094,0.357,0.232,0.071,0.094,0.357,0.0,0.1168,0.1387,0.0001
0.247,0.08,0.106,0.355,0.247,0.08,0.106,0.355,0.0,0.1711,0.1417,0.0
0.267,0.098,0.125,0.358,0.267,0.098,0.125,0.358,0.0,0.243,0.1323,0.0
0.298,0.125,0.144,0.359,0.298,0.125,0.144,0.359,0.0,0.3352,0.0996,0.0
0.34,0.153,0.16,0.356,0.34,0.153,0.16,0.356,0.0,0.37,0.0806,0.0
0.377,0.182,0.172,0.353,0.377,0.182,0.172,0.353,0.0,0.3681,0.061,0.0
0.406,0.208,0.179,0.357,0.406,0.208,0.179,0.357,0.0,0.3564,0.0351,0.0
0.438,0.226,0.179,0.357,0.438,0.226,0.179,0.357,0.0028,0.319,0.0147,0.0
0.463,0.246,0.176,0.359,0.463,0.246,0.176,0.359,0.0142,0.2607,0.0032,0.0
0.485,0.261,0.181,0.353,0.485,0.261,0.181,0.353,0.0569,0.2137,0.0002,0.0
0.509,0.264,0.188,0.351,0.509,0.264,0.188,0.351,0.125,0.1396,0.0,0.0
0.55,0.256,0.188,0.354,0.55,0.256,0.188,0.354,0.1714,0.0778,0.0,0.0
0.564,0.246,0.194,0.347,0.564,0.246,0.194,0.347,0.1776,0.0311,0.0,0.0
0.563,0.242,0.206,0.33,0.563,0.242,0.206,0.33,0.1483,0.0061,0.0,0.0055
0.547,0.252,0.221,0.319,0.547,0.252,0.221,0.319,0.1051,0.0004,0.0,0.0225
0.556,0.267,0.227,0.313,0.556,0.267,0.227,0.313,0.0499,0.0,0.0,0.0473
0.54,0.277,0.215,0.322,0.54,0.277,0.215,0.322,0.0122,0.0,0.0027,0.0671
0.555,0.285,0.213,0.347,0.555,0.285,0.213,0.347,0.0,0.0,0.0349,0.0826
