"P1_S1","P1_S2","P1_S3","P1_S4","P2_S1","P2_S2","P2_S3","P2_S4","P3_S1","P3_S2","P3_S3","P3_S4"
0.236,0.07,0.075,0.047,0.236,0.07,0.075,0.047,0.0393,0.0,0.0,0.144
0.224,0.064,0.071,0.063,0.224,0.064,0.071,0.063,0.0198,0.0,0.0001,0.2584
0.241,0.059,0.07,0.081,0.241,0.059,0.07,0.081,0.004,0.0,0.013,0.3501
0.239,0.056,0.069,0.1,0.239,0.056,0.069,0.1,0.0,0.0,0.0654,0.3932
0.222,0.054,0.072,0.115,0.222,0.054,0.072,0.115,0.0,0.0,0.125,0.4034
0.207,0.053,0.084,0.128,0.207,0.053,0.084,0.128,0.0,0.0,0.1681,0.3609
0.193,0.052,0.098,0.142,0.193,0.052,0.098,0.142,0.0,0.0,0.1859,0.2878
0.176,0.054,0.109,0.146,0.176,0.054,0.109,0.146,0.0,0.0,0.2187,0.1956
0.157,0.054,0.118,0.147,0.157,0.054,0.118,0.147,0.0,0.0,0.3138,0.0948
0.145,0.053,0.125,0.158,0.145,0.053,0.125,0.158,0.0,0.0025,0.3762,0.0245
0.157,0.049,0.129,0.176,0.157,0.049,0.129,0.176,0.0,0.0188,0.4012,0.0024
0.149,0.048,0.13,0.199,0.149,0.048,0.13,0.199,0.0,0.0547,0.4357,0.0
0.147,0.05,0.141,0.226,0.147,0.05,0.141,0.226,0.0,0.1045,0.4368,0.0
0.146,0.056,0.152,0.249,0.146,0.056,0.152,0.249,0.0,0.16,0.4159,0.0
0.146,0.063,0.173,0.271,0.146,0.063,0.173,0.271,0.0,0.2068,0.3417,0.0
0.148,0.069,0.182,0.293,0.148,0.069,0.182,0.293,0.0,0.2333,0.2755,0.0
0.152,0.071,0.171,0.3,0.152,0.071,0.171,0.3,0.0,0.238,0.2005,0.0
0.16,0.071,0.151,0.31,0.16,0.071,0.151,0.31,0.0008,0.2212,0.1003,0.0
0.172,0.068,0.144,0.324,0.172,0.068,0.144,0.324,0.004,0.1899,0.0236,0.0
0.184,0.069,0.146,0.335,0.184,0.069,0.146,0.335,0.0284,0.1536,0.0018,0.0
0.203,0.067,0.149,0.351,0.203,0.067,0.149,0.351,0.071,0.1126,0.0,0.0
0.235,0.061,0.164,0.37,0.235,0.061,0.164,0.37,0.1017,0.0662,0.0,0.0
0.255,0.051,0.162,0.387,0.255,0.051,0.162,0.387,0.106,0.0242,0.0,0.0015
0.258,0.047,0.151,0.416,0.258,0.047,0.151,0.416,0.0907,0.0036,0.0,0.0135
0.262,0.045,0.134,0.46,0.262,0.045,0.134,0.46,0.0538,0.0,0.0,0.0359
0.261,0.046,0.127,0.498,0.261,0.046,0.127,0.498,0.0223,0.0,0.0001,0.0656
