"P_S1","P_S2","P_S3","P_S4"
43401.0,36099.0,21392.0,37285.0
44062.0,32231.0,21034.0,36159.0
47885.0,28148.0,21739.0,35525.0
48759.0,25481.0,25785.0,35256.0
47507.0,25605.0,30614.0,35185.0
45149.0,25555.0,32648.0,35360.0
42048.0,24965.0,32921.0,35935.0
37849.0,24814.0,32700.0,38039.0
33689.0,25963.0,32673.0,39799.0
29590.0,29775.0,32374.0,41669.0
28564.0,34539.0,31619.0,42269.0
28231.0,36794.0,31084.0,39817.0
27273.0,36773.0,31145.0,36296.0
26517.0,35450.0,32573.0,31960.0
25934.0,34236.0,33528.0,27725.0
27470.0,33449.0,33692.0,24942.0
33134.0,32654.0,33436.0,24302.0
40191.0,32332.0,32775.0,24010.0
42212.0,32449.0,32249.0,23585.0
43130.0,33727.0,30792.0,23492.0
43158.0,35252.0,26918.0,25022.0
42748.0,36125.0,23974.0,30587.0
42296.0,36508.0,22940.0,37037.0
41331.0,38082.0,22267.0,38098.0
41417.0,35855.0,21817.0,37427.0
42228.0,31961.0,21438.0,36181.0
46190.0,27940.0,21954.0,35219.0
48133.0,25220.0,25841.0,34565.0
47665.0,25264.0,30831.0,33896.0
45613.0,25103.0,32728.0,33946.0
42104.0,24441.0,32804.0,34384.0
37737.0,24291.0,32171.0,36355.0
33613.0,25490.0,31934.0,38174.0
29861.0,28984.0,31624.0,40088.0
28766.0,33477.0,30764.0,40289.0
28180.0,35834.0,30379.0,37699.0
27237.0,35877.0,30792.0,34472.0
26453.0,34783.0,32268.0,30903.0
25695.0,33999.0,33118.0,27298.0
26864.0,33123.0,32781.0,24581.0
32220.0,32132.0,32214.0,23942.0
39058.0,31594.0,31462.0,23299.0
40765.0,31689.0,31213.0,22563.0
41006.0,32407.0,29670.0,22227.0
40498.0,33801.0,26111.0,22694.0
40286.0,34082.0,23582.0,25116.0
40567.0,34075.0,21948.0,28196.0
40833.0,35125.0,21111.0,31328.0
41321.0,33049.0,20644.0,32810.0
41984.0,29469.0,20146.0,33063.0
45198.0,25991.0,19925.0,32623.0
46232.0,23190.0,21548.0,32166.0
44793.0,22815.0,24180.0,31255.0
41963.0,22438.0,26826.0,30900.0
38795.0,21573.0,28027.0,31031.0
35225.0,20973.0,28014.0,32464.0
31969.0,21341.0,27697.0,34898.0
28706.0,23024.0,26912.0,37073.0
27832.0,25930.0,26025.0,36939.0
26876.0,28750.0,25462.0,34358.0
25375.0,29988.0,25440.0,31796.0
24372.0,29473.0,26474.0,28878.0
23389.0,28377.0,28019.0,25738.0
23619.0,27270.0,28554.0,23276.0
25640.0,25701.0,28238.0,22659.0
28458.0,24593.0,27581.0,22134.0
31554.0,24523.0,27620.0,21288.0
34342.0,25891.0,26698.0,20808.0
35580.0,28726.0,23829.0,21049.0
36092.0,30279.0,21518.0,22464.0
35767.0,31331.0,20240.0,24310.0
35096.0,32781.0,19531.0,27129.0
34842.0,31441.0,18943.0,29300.0
35621.0,28835.0,18446.0,30217.0
39283.0,25756.0,17919.0,30434.0
42629.0,23254.0,18683.0,30515.0
42195.0,22912.0,20719.0,29611.0
39444.0,22583.0,23594.0,29231.0
36763.0,21857.0,26245.0,29906.0
34219.0,21259.0,27838.0,32230.0
31765.0,21319.0,28371.0,34845.0
29064.0,21887.0,28426.0,37449.0
28252.0,23400.0,27733.0,37558.0
27203.0,25310.0,27124.0,35290.0
25775.0,27001.0,26880.0,32660.0
24672.0,27855.0,28037.0,29187.0
23696.0,28169.0,29165.0,25371.0
23601.0,28621.0,29662.0,23079.0
24750.0,28349.0,29620.0,22948.0
26345.0,28253.0,29268.0,22784.0
28893.0,28880.0,29177.0,22322.0
32357.0,30178.0,27977.0,22409.0
34732.0,31764.0,24896.0,24058.0
35703.0,32581.0,22498.0,30057.0
36791.0,33042.0,21620.0,36791.0
37154.0,34602.0,21094.0,38155.0
37355.0,33070.0,20782.0,37562.0
38529.0,29975.0,20728.0,36566.0
41884.0,26284.0,21620.0,35951.0
43631.0,23932.0,26092.0,35616.0
42353.0,24319.0,31835.0,34734.0
40045.0,24514.0,34803.0,34475.0
37519.0,24085.0,36020.0,35073.0
34288.0,24060.0,36447.0,37641.0
30778.0,25508.0,36726.0,39690.0
27001.0,29948.0,36536.0,42132.0
26442.0,35511.0,35836.0,42357.0
26196.0,37439.0,35363.0,39455.0
25379.0,37646.0,35230.0,35697.0
24638.0,37098.0,36208.0,31206.0
24187.0,36630.0,36545.0,26821.0
25789.0,36191.0,36086.0,24223.0
30471.0,35505.0,34960.0,23921.0
38930.0,34980.0,33714.0,23811.0
40662.0,34780.0,32751.0,23400.0
41594.0,36228.0,30502.0,23317.0
42123.0,37302.0,26361.0,24788.0
42498.0,37333.0,23727.0,30688.0
42722.0,37304.0,22803.0,37387.0
42646.0,38368.0,22264.0,38610.0
